structure,total.inUse,free
1st and William,110.0,0.0,110.0,1670025231.133756
Library Lane,744.0,231.0,513.0,1670025231.133756
Maynard,791.0,599.0,192.0,1670025231.133756
Forest Garage,853.0,96.0,757.0,1670025231.133756
Liberty Square (Tally Hall),540.0,281.0,259.0,1670025231.133756
Ann Ashley,811.0,509.0,302.0,1670025231.133756
South Ashley (Kline Lot),143.0,148.0,-5.0,1670025231.133756
4th & William,960.0,624.0,336.0,1670025231.133756
4th & Wash.,270.0,270.0,0.0,1670025231.133756
1st & Wash.,243.0,231.0,12.0,1670025231.133756
1st and William,110.0,0.0,110.0,1670074358.794286
Library Lane,744.0,90.0,654.0,1670074358.794286
Maynard,791.0,156.0,635.0,1670074358.794286
Forest Garage,853.0,29.0,824.0,1670074358.794286
Liberty Square (Tally Hall),540.0,89.0,451.0,1670074358.794286
Ann Ashley,811.0,70.0,741.0,1670074358.794286
South Ashley (Kline Lot),143.0,10.0,133.0,1670074358.794286
4th & William,960.0,107.0,853.0,1670074358.794286
4th & Wash.,270.0,24.0,246.0,1670074358.794286
1st & Wash.,243.0,243.0,0.0,1670074358.794286
1st and William,110.0,0.0,110.0,1670087979.9775355
Library Lane,744.0,129.0,615.0,1670087979.9775355
Maynard,791.0,340.0,451.0,1670087979.9775355
Forest Garage,853.0,94.0,759.0,1670087979.9775355
Liberty Square (Tally Hall),540.0,160.0,380.0,1670087979.9775355
Ann Ashley,811.0,81.0,730.0,1670087979.9775355
South Ashley (Kline Lot),143.0,95.0,48.0,1670087979.9775355
4th & William,960.0,198.0,762.0,1670087979.9775355
4th & Wash.,270.0,100.0,170.0,1670087979.9775355
1st & Wash.,243.0,49.0,194.0,1670087979.9775355
