structure,total,inUse,free,time
1st and William,110.0,0.0,110.0,1670088506.05363
Library Lane,744.0,129.0,615.0,1670088506.05363
Maynard,791.0,340.0,451.0,1670088506.05363
Forest Garage,853.0,94.0,759.0,1670088506.05363
Liberty Square (Tally Hall),540.0,160.0,380.0,1670088506.05363
Ann Ashley,811.0,81.0,730.0,1670088506.05363
South Ashley (Kline Lot),143.0,95.0,48.0,1670088506.05363
4th & William,960.0,198.0,762.0,1670088506.05363
4th & Wash.,270.0,100.0,170.0,1670088506.05363
1st & Wash.,243.0,49.0,194.0,1670088506.05363
1st and William,110.0,0.0,110.0,1670089008.3941364
Library Lane,744.0,129.0,615.0,1670089008.3941364
Maynard,791.0,340.0,451.0,1670089008.3941364
Forest Garage,853.0,94.0,759.0,1670089008.3941364
Liberty Square (Tally Hall),540.0,160.0,380.0,1670089008.3941364
Ann Ashley,811.0,81.0,730.0,1670089008.3941364
South Ashley (Kline Lot),143.0,95.0,48.0,1670089008.3941364
4th & William,960.0,198.0,762.0,1670089008.3941364
4th & Wash.,270.0,100.0,170.0,1670089008.3941364
1st & Wash.,243.0,49.0,194.0,1670089008.3941364
1st and William,110.0,0.0,110.0,1670089147.1741729
Library Lane,744.0,129.0,615.0,1670089147.1741729
Maynard,791.0,340.0,451.0,1670089147.1741729
Forest Garage,853.0,94.0,759.0,1670089147.1741729
Liberty Square (Tally Hall),540.0,160.0,380.0,1670089147.1741729
Ann Ashley,811.0,81.0,730.0,1670089147.1741729
South Ashley (Kline Lot),143.0,95.0,48.0,1670089147.1741729
4th & William,960.0,198.0,762.0,1670089147.1741729
4th & Wash.,270.0,100.0,170.0,1670089147.1741729
1st & Wash.,243.0,49.0,194.0,1670089147.1741729
1st and William,110.0,0.0,110.0,1670090828.742656
Library Lane,744.0,129.0,615.0,1670090828.742656
Maynard,791.0,340.0,451.0,1670090828.742656
Forest Garage,853.0,94.0,759.0,1670090828.742656
Liberty Square (Tally Hall),540.0,160.0,380.0,1670090828.742656
Ann Ashley,811.0,81.0,730.0,1670090828.742656
South Ashley (Kline Lot),143.0,95.0,48.0,1670090828.742656
4th & William,960.0,198.0,762.0,1670090828.742656
4th & Wash.,270.0,100.0,170.0,1670090828.742656
1st & Wash.,243.0,49.0,194.0,1670090828.742656
1st and William,110.0,0.0,110.0,1670094427.8344982
Library Lane,744.0,129.0,615.0,1670094427.8344982
Maynard,791.0,340.0,451.0,1670094427.8344982
Forest Garage,853.0,94.0,759.0,1670094427.8344982
Liberty Square (Tally Hall),540.0,160.0,380.0,1670094427.8344982
Ann Ashley,811.0,81.0,730.0,1670094427.8344982
South Ashley (Kline Lot),143.0,95.0,48.0,1670094427.8344982
4th & William,960.0,198.0,762.0,1670094427.8344982
4th & Wash.,270.0,100.0,170.0,1670094427.8344982
1st & Wash.,243.0,49.0,194.0,1670094427.8344982
1st and William,110.0,0.0,110.0,1670098027.8829656
Library Lane,744.0,129.0,615.0,1670098027.8829656
Maynard,791.0,340.0,451.0,1670098027.8829656
Forest Garage,853.0,94.0,759.0,1670098027.8829656
Liberty Square (Tally Hall),540.0,160.0,380.0,1670098027.8829656
Ann Ashley,811.0,81.0,730.0,1670098027.8829656
South Ashley (Kline Lot),143.0,95.0,48.0,1670098027.8829656
4th & William,960.0,198.0,762.0,1670098027.8829656
4th & Wash.,270.0,100.0,170.0,1670098027.8829656
